date,Casos positivos,Activos,media_7,ia14,ia_ratio
2020-10-18,24,,,,
2020-10-19,3,,,,
2020-10-20,16,198.0,,,
2020-10-21,24,,,,
2020-10-22,23,,,,
2020-10-23,9,,,,
2020-10-24,26,221.0,18.0,,
2020-10-25,11,,16.0,,
2020-10-26,4,,16.0,,
2020-10-27,8,258.0,15.0,,
2020-10-28,11,,13.0,,
2020-10-29,11,,11.0,,
2020-10-30,20,252.0,13.0,,
2020-10-31,23,,13.0,636.3147517476251,
2020-11-01,13,,13.0,603.4534265400013,
2020-11-02,5,,13.0,609.4282129413873,
2020-11-03,5,,13.0,576.5668877337636,
2020-11-04,15,,13.0,549.6803489275258,
2020-11-05,4,,12.0,492.91987811435746,
2020-11-06,19,,12.0,522.7938101212882,
2020-11-07,21,,12.0,507.8568441178228,0.7981220657276994
2020-11-08,5,,11.0,489.9324849136643,0.8118811881188118
2020-11-09,2,,10.0,483.95769851227817,0.7941176470588236
2020-11-10,10,331.0,11.0,489.9324849136643,0.849740932642487
2020-11-11,16,,11.0,504.86945091712977,0.9184782608695654
2020-11-12,15,,13.0,516.819023719902,1.0484848484848484
2020-11-13,10,,11.0,486.94509171297125,0.9314285714285714
2020-11-14,16,,11.0,466.0333393081197,0.9176470588235294
2020-11-15,3,,10.0,436.159407301189,0.8902439024390244
2020-11-16,4,338.0,11.0,433.1720141004959,0.8950617283950618
2020-11-17,12,,11.0,454.0837665053474,0.9268292682926829
2020-11-18,12,,10.0,445.1215869032682,0.8816568047337278
2020-11-19,8,174.0,9.0,457.07115970604053,0.8843930635838151
2020-11-20,8,,9.0,424.2098344984167,0.8711656441717792
2020-11-21,9,,8.0,388.36111609009976,0.8333333333333334
2020-11-22,7,,9.0,394.33590249148597,0.904109589041096
2020-11-23,1,,8.0,391.34850929079283,0.9034482758620689
2020-11-24,11,,8.0,394.33590249148597,0.8684210526315791
2020-11-25,12,77.0,8.0,382.3863296887136,0.8590604026845636
2020-11-26,15,,9.0,382.3863296887136,0.8366013071895424
2020-11-27,15,,10.0,397.32329569217904,0.9366197183098592
2020-11-28,16,,11.0,397.32329569217904,1.0230769230769232
2020-11-29,3,,10.0,397.32329569217904,1.0075757575757576
2020-11-30,5,,11.0,400.31068889287207,1.0229007633587786
2020-12-01,9,,11.0,391.34850929079283,0.9924242424242423
