,Fecha,pueblo,positivos
0,04-12-2020,BADAJOZ,22
1,04-12-2020,JEREZ DE LOS CABALLEROS,2
2,04-12-2020,MONTIJO,6
3,04-12-2020,ZAHINOS,1
4,04-12-2020,OLIVENZA,1
5,04-12-2020,PUEBLONUEVO DEL GUADIANA,2
6,04-12-2020,PUEBLA DE OBANDO,1
7,04-12-2020,PARRA (LA),1
8,04-12-2020,ALBUERA (LA),1
9,04-12-2020,TALAVERA LA REAL,3
10,04-12-2020,TORRE DE MIGUEL SESMERO,5
11,04-12-2020,VALVERDE DE LEGANES,1
12,04-12-2020,ALCUESCAR,1
13,04-12-2020,CACERES,18
14,04-12-2020,TORREORGAZ,1
15,04-12-2020,CASAR DE CÁCERES,2
16,04-12-2020,CASAR DE CACERES,1
17,04-12-2020,LOGROSAN,1
18,04-12-2020,MIAJADAS,3
19,04-12-2020,VILLAMESIAS,1
20,04-12-2020,CUMBRE (LA),1
21,04-12-2020,TRUJILLO,2
22,04-12-2020,JOLA,1
23,04-12-2020,CORIA,3
24,04-12-2020,CASTUERA,3
25,04-12-2020,MONTERRUBIO DE LA SERENA,1
26,04-12-2020,DON BENITO,1
27,04-12-2020,ORELLANA LA VIEJA,2
28,04-12-2020,SANTA AMALIA,1
29,04-12-2020,VILLANUEVA DE LA SERENA,12
30,04-12-2020,PUEBLA DEL MAESTRE,1
31,04-12-2020,ALCONERA,2
32,04-12-2020,"VALENCIA DEL, VENTOSO",1
33,04-12-2020,ZAFRA,1
34,04-12-2020,ACEUCHAL,4
35,04-12-2020,ALMENDRALEJO,12
36,04-12-2020,ARROYO DE SAN SERVAN,1
37,04-12-2020,ESPARRAGALEJO,2
38,04-12-2020,MERIDA,13
39,04-12-2020,VALVERDE DE MERIDA,1
40,04-12-2020,MIRANDILLA,12
41,04-12-2020,VILLAFRANCA DE LOS BARROS,1
42,04-12-2020,PERALEDA DE SAN ROMAN,3
43,04-12-2020,JARANDILLA DE LA VERA,2
44,04-12-2020,LOSAR DE LA VERA,1
45,04-12-2020,ROBLEDILLO DE LA VERA,1
46,04-12-2020,BELVIS DE MONROY,1
47,04-12-2020,NAVALMORAL DE LA MATA,5
48,04-12-2020,PUEBLONUEVO DE MIRAMONTES,2
49,04-12-2020,TALAYUELA,2
50,04-12-2020,PASARON DE LA VERA,1
51,04-12-2020,PINOFRANQUEADO,1
52,04-12-2020,PLASENCIA,11
53,04-12-2020,TORREJON EL RUBIO,1
